Dataset,Nodes,Optimal,Algorithm,Cost,Error,Elapsed time,Memory usage
rd100,100,7910,chr,8907,0.12604298356510757,0.5805678367614746,2.1435623168945312
eil101,101,629,tat,864,0.37360890302066774,0.11265277862548828,2.0217056274414062
eil101,101,629,chr,721,0.1462639109697934,0.3849318027496338,2.1830062866210938
lin105,105,14379,tat,20176,0.40315738229362275,0.12094378471374512,2.1348953247070312
lin105,105,14379,chr,17093,0.18874747896237576,0.311781644821167,2.1348953247070312
pr107,107,44303,tat,54237,0.22422860754350715,0.12096190452575684,2.0917625427246094
pr107,107,44303,chr,47891,0.08098774349366855,0.2954580783843994,2.2527008056640625
pr124,124,59030,tat,75175,0.2735049974589192,0.18375658988952637,2.9395103454589844
pr124,124,59030,chr,65306,0.10631882093850575,0.3239095211029053,2.9395103454589844
bier127,127,118282,tat,157595,0.3323667168292723,0.2093181610107422,3.0408935546875
bier127,127,118282,chr,131046,0.10791160108892317,0.8904445171356201,3.1212615966796875
ch130,130,6110,tat,8125,0.32978723404255317,0.20837020874023438,3.2625808715820312
ch130,130,6110,chr,6838,0.11914893617021272,0.5078465938568115,3.2625808715820312
pr136,136,96772,tat,151904,0.5697102467655935,0.22245454788208008,3.4633255004882812
pr136,136,96772,chr,104102,0.07574505022113831,0.29415416717529297,3.4633255004882812
pr144,144,58537,tat,80599,0.3768898303637016,0.24252033233642578,3.856273651123047
pr144,144,58537,chr,70404,0.2027264806874285,0.3356809616088867,3.856273651123047
ch150,150,6528,tat,8215,0.2584252450980393,0.2671685218811035,4.291378021240234
ch150,150,6528,chr,7101,0.08777573529411775,0.6612341403961182,4.291378021240234
kroA150,150,26524,tat,35119,0.3240461468858393,0.2672863006591797,4.294700622558594
kroA150,150,26524,chr,29688,0.11928819182627048,1.3849763870239258,4.294700622558594
kroB150,150,26130,tat,36150,0.38346727898966715,0.27314114570617676,4.286888122558594
kroB150,150,26130,chr,30053,0.15013394565633376,1.2950432300567627,4.286811828613281
pr152,152,73682,tat,92018,0.24885317988111066,0.7430999279022217,4.235736846923828
pr152,152,73682,chr,79713,0.08185174126652361,0.38018059730529785,4.235576629638672
u159,159,42080,tat,58296,0.385361216730038,0.2949488162994385,4.748012542724609
u159,159,42080,chr,47639,0.1321055133079847,0.9848828315734863,4.748012542724609
rat195,195,2323,tat,3395,0.46147223417993977,0.4445796012878418,7.974208831787109
rat195,195,2323,chr,2611,0.12397761515281958,1.3892340660095215,7.974208831787109
d198,198,15780,tat,19119,0.21159695817490487,0.5332973003387451,8.006786346435547
d198,198,15780,chr,17011,0.07801013941698343,2.270350694656372,8.00662612915039
kroA200,200,29368,tat,40028,0.36298011441024247,0.47017693519592285,8.314277648925781
kroA200,200,29368,chr,32806,0.11706619449741207,2.618657350540161,8.314277648925781
kroB200,200,29437,tat,40703,0.38271562998946895,0.47309350967407227,8.325660705566406
kroB200,200,29437,chr,33123,0.12521656418792682,3.1427407264709473,8.325820922851562
ts225,225,126643,tat,196987,0.555451150083305,0.5788064002990723,10.355049133300781
ts225,225,126643,chr,132587,0.04693508523961065,0.6236894130706787,10.355049133300781
tsp225,225,3919,tat,5325,0.3587649910691504,0.691868782043457,10.317119598388672
tsp225,225,3919,chr,4356,0.11150803776473595,3.073038101196289,10.316959381103516
pr226,226,80369,tat,115268,0.43423459294006395,0.5769009590148926,10.049949645996094
pr226,226,80369,chr,91990,0.14459555301173332,1.1173596382141113,10.049873352050781
gil262,262,2378,tat,3252,0.36753574432296054,0.8849520683288574,13.639144897460938
gil262,262,2378,chr,2668,0.12195121951219523,5.029681921005249,13.638984680175781
pr264,264,49135,tat,70619,0.43724432685458425,0.8747830390930176,12.80133056640625
pr264,264,49135,chr,54748,0.1142362877785692,2.4898788928985596,12.801170349121094
a280,280,2579,tat,3800,0.4734393175649476,1.0108428001403809,15.598281860351562
a280,280,2579,chr,2930,0.13609926328034128,4.265199899673462,15.598121643066406
pr299,299,48191,tat,64572,0.3399182419953932,1.1257569789886475,17.707626342773438
pr299,299,48191,chr,52964,0.09904338984457683,6.200510501861572,17.70746612548828
lin318,318,42029,tat,59158,0.40755192843036947,0.9935901165008545,19.84514617919922
lin318,318,42029,chr,48205,0.14694615622546348,7.51172399520874,19.845069885253906
linhp318,318,41345,tat,59158,0.43083806989962503,0.8960902690887451,19.84490966796875
linhp318,318,41345,chr,48205,0.16592090942072812,7.524409294128418,19.845069885253906
rd400,400,15281,tat,20634,0.35030429945684194,1.7599833011627197,34.988704681396484
rd400,400,15281,chr,17475,0.14357699103461807,19.628533363342285,34.988704681396484
fl417,417,11861,tat,16297,0.3739988196610742,1.9834179878234863,36.33246612548828
fl417,417,11861,chr,13109,0.10521878425090625,10.362244129180908,36.4825439453125
pr439,439,107217,tat,146846,0.3696148931605996,2.148752212524414,40.6357421875
pr439,439,107217,chr,118198,0.10241845975917996,12.553584814071655,40.63566589355469
pcb442,442,50778,tat,69623,0.3711252904801292,1.9316620826721191,42.18216323852539
pcb442,442,50778,chr,55858,0.10004332584977749,19.77906894683838,42.18216323852539
d493,493,35002,tat,45059,0.2873264384892291,3.3160018920898438,51.36042022705078
d493,493,35002,chr,38847,0.10985086566481916,32.28758406639099,51.207969665527344
u574,574,36905,tat,49472,0.3405229643679719,3.6449530124664307,68.81550216674805
u574,574,36905,chr,41601,0.12724563067335048,43.86945366859436,68.81542587280273
rat575,575,6773,tat,9497,0.40218514690683604,4.5505266189575195,69.20137023925781
rat575,575,6773,chr,7762,0.1460209655987008,43.938273191452026,69.2012939453125
p654,654,34643,tat,49667,0.4336806858528419,4.899667978286743,83.8671875
p654,654,34643,chr,39305,0.13457264093756316,10.61673617362976,83.72611999511719
d657,657,48912,tat,65877,0.34684739941118736,4.474074125289917,88.72454833984375
d657,657,48912,chr,54774,0.11984789008832197,63.991565465927124,88.72453308105469
u724,724,41910,tat,57852,0.3803865425912669,6.085798025131226,119.72637939453125
u724,724,41910,chr,47472,0.13271295633500357,87.70367050170898,119.72636413574219
rat783,783,8806,tat,12065,0.3700885759709289,7.465684175491333,137.95074844360352
rat783,783,8806,chr,10026,0.1385419032477857,106.33846974372864,137.9506721496582
pr1002,1002,259045,tat,351353,0.3563396321102512,12.734445333480835,216.2145881652832
pr1002,1002,259045,chr,285730,0.10301299002103881,225.6279776096344,216.06182479858398
u1060,1060,224094,tat,306883,0.36943871768097325,14.015331268310547,238.53398513793945
u1060,1060,224094,chr,248390,0.10841878854409304,268.8624863624573,238.53390884399414
vm1084,1084,239297,tat,314328,0.3135475998445447,15.035804510116577,249.41465759277344
vm1084,1084,239297,chr,261740,0.09378721839387882,143.92973566055298,249.41458129882812
pcb1173,1173,56892,tat,80554,0.4159108486254659,17.100962162017822,289.995418548584
pcb1173,1173,56892,chr,63040,0.1080644027279758,203.58407974243164,289.9953422546387
d1291,1291,50801,tat,78812,0.5513867837247299,20.62252449989319,345.6624984741211
d1291,1291,50801,chr,58533,0.15220172831243484,92.6941545009613,345.66236114501953
rl1304,1304,252948,tat,351421,0.38930135838196,22.051292657852173,353.5657653808594
rl1304,1304,252948,chr,277340,0.09643088698072333,72.66995406150818,353.56568908691406
rl1323,1323,270199,tat,384140,0.42169290041784024,22.534445762634277,362.8723030090332
rl1323,1323,270199,chr,294779,0.0909699887860429,75.08650040626526,362.8722267150879
nrw1379,1379,56638,tat,79403,0.40193862777640454,24.267231941223145,441.79216384887695
nrw1379,1379,56638,chr,63818,0.126770013065433,587.299765586853,441.79208755493164
