Nodes,Priority method,Cost,Leaves count,Elapsed time,Finished
20,opt,197,3,4.466131925582886,True
20,reg,201,1,26.116904258728027,True
20,opt,201,4,17.18746852874756,True
20,reg,187,1,21.220029830932617,True
20,opt,187,4,16.116540670394897,True
20,reg,207,1,59.41924810409546,True
20,opt,207,7,45.05204224586487,True
20,reg,230,1,2.1336958408355713,True
20,opt,230,5,1.9274013042449951,True
20,reg,209,1,1.639408826828003,True
20,opt,209,4,2.1996209621429443,True
20,reg,212,1,33.53459692001343,True
20,opt,212,7,17.651272296905518,True
20,reg,209,1,6.362516164779663,True
20,opt,209,7,7.31692099571228,True
20,reg,217,1,11.101000308990479,True
20,opt,217,10,7.196415424346924,True
20,reg,202,1,2.473874092102051,True
20,opt,202,4,3.0635552406311035,True
20,reg,209,1,6.284344434738159,True
20,opt,209,8,8.691912651062012,True
